,chroma_stft_mean,rms_mean,spectral_bandwidth_mean,spectral_centroid_mean,spectral_rolloff_mean,zero_crossing_rate_mean,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,result
0,0.58627474,0.020160222,1805.7009873642655,1336.3019359226234,2697.03369140625,0.052713145380434784,-441.72946,139.86128,-6.026837,32.98633,12.005151,6.203229,-2.7672887,6.6749825,-7.660207,4.8718824,-0.9422501,6.7253447,-2.3906138,5.0370455,2.3219228,3.7363143,-1.4185839,3.6049752,-1.3379617,3.1345258,1
1,0.5830096,0.02035721,1860.9529704617814,1371.832200847938,2638.5195524796195,0.04948093580163043,-439.77536,144.51736,2.529634,23.62336,6.941278,8.430551,0.6341368,4.2493453,-5.757733,7.178718,-6.312665,9.151767,-1.4493688,3.9926226,2.248678,3.903913,-5.1859784,5.8994746,-2.2857385,3.0784836,1
2,0.47812957,0.017457752,1891.5677726644833,1842.383609691944,3847.265625,0.107890625,-529.10693,99.66023,-4.149084,27.756214,-6.6508718,15.381046,0.43869233,8.08829,-11.241119,-4.826316,-9.605821,-12.078581,5.669563,-4.2787185,3.5982943,0.33899802,0.95672923,-6.4576855,5.7948484,6.921726,0
3,0.5254483,0.054757707,1674.9840619487431,1193.9690419750575,2208.349609375,0.04805230034722222,-359.05112,152.8085,8.78469,22.331976,4.7485485,8.705871,-4.665126,4.6639185,-9.0829735,2.9785013,-5.792853,1.3455334,-1.6020111,-4.8928065,3.6011286,3.749482,2.0495398,3.7353685,-2.422567,0.58246005,0
4,0.4428921,0.02332812,1782.1724525526085,1534.6874974862324,3119.80224609375,0.0763427734375,-539.4378,130.54723,9.875504,26.432081,-9.1778345,16.980194,-2.2312357,10.07651,-18.138998,-1.4229857,-12.6006975,-23.443666,-0.7606439,-5.276655,7.106412,-6.715811,9.732429,2.2556212,-6.5914974,3.9993396,0
5,0.4429512,0.023328189,1785.719918160423,1537.3939265778524,3130.2099609375,0.0759521484375,-539.42084,130.57704,9.843762,26.426373,-9.124421,17.011578,-2.2177155,10.05211,-18.142597,-1.4395143,-12.611823,-23.403578,-0.7511767,-5.2793937,7.133502,-6.7033324,9.739307,2.2439663,-6.584275,4.039031,0
6,0.41353336,0.029228797,1624.4285859028525,1634.4475047519716,3033.271748310811,0.10505964949324324,-485.32712,145.47266,14.633224,55.30147,-31.686434,21.56246,5.1532125,8.702589,-19.55567,-2.4424024,-17.595715,-30.539894,-12.879341,3.900767,9.427397,-23.092175,23.687714,-6.431528,-12.445423,3.7880075,0
7,0.4133566,0.02922874,1625.5425729665174,1635.3995319876199,3034.4357052364867,0.10503325591216216,-485.31018,145.42955,14.673417,55.330605,-31.734566,21.591702,5.148387,8.737531,-19.541386,-2.4807396,-17.589806,-30.530893,-12.884091,3.8775725,9.424172,-23.052525,23.683088,-6.439367,-12.393048,3.797995,0
8,0.4133151,0.03061117,1544.0532122993143,1333.5038502290145,2437.2185958059213,0.07383326480263158,-482.60376,154.77576,17.621212,55.24753,-33.8551,16.1632,11.802947,1.8455999,-23.30183,-4.9680514,-18.574686,-27.655155,-14.332383,0.57171965,7.4343247,-22.599417,22.151558,-2.4374523,-9.22508,5.3246965,0
9,0.41328368,0.030611245,1547.109504654937,1335.836274216116,2441.7519017269738,0.07391036184210527,-482.5978,154.77031,17.641647,55.208168,-33.899986,16.243847,11.841524,1.803865,-23.333475,-4.9608192,-18.546186,-27.648046,-14.379186,0.53565335,7.4336524,-22.61367,22.180973,-2.3894324,-9.244043,5.3197727,0
10,0.4332652,0.030910827,1576.9418091622672,1272.884815606676,2554.3034733952704,0.06420238597972973,-478.7152,155.25133,8.545365,48.085785,-22.448565,26.162683,7.1959486,4.2063303,-26.188335,-9.34315,-24.54617,-26.974823,-7.6984024,-0.17987078,10.563326,-18.269514,21.653597,-5.5018253,-11.652658,3.9524982,0
11,0.43296635,0.030911088,1577.0078980290318,1272.0681049256027,2555.467430320946,0.06399123733108109,-478.66882,155.2636,8.560867,48.067062,-22.457561,26.215206,7.169101,4.237241,-26.164188,-9.366264,-24.542282,-27.011164,-7.6741266,-0.1598035,10.540559,-18.258024,21.665007,-5.5072007,-11.676009,3.9560127,0
12,0.40186542,0.032806225,1525.0036066288208,1399.2223403098,2619.485061233108,0.08254592483108109,-468.5078,154.90685,3.4826412,52.754578,-24.115046,15.959115,0.22195795,-3.673231,-23.296705,-10.396995,-21.445045,-26.973291,2.7628517,0.6714681,-0.24816008,-6.5660744,17.9453,-13.423283,-2.1408,3.8711128,0
13,0.40172383,0.032806266,1524.4332020349216,1399.4376915167595,2621.8129750844596,0.08302100929054054,-468.47656,154.91661,3.4908855,52.735764,-24.156443,15.974339,0.21396005,-3.6372743,-23.250748,-10.44828,-21.456171,-26.967733,2.7374153,0.6630293,-0.23360793,-6.5282826,17.959532,-13.4372,-2.1636884,3.8580005,0
