,chroma_stft_mean,mel,tone,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,result
0,0.47812957,0.05864623,-0.016251879889252478,-529.10693,99.66023,-4.149084,27.756214,-6.6508718,15.381046,0.43869233,8.08829,-11.241119,-4.826316,-9.605821,-12.078581,5.669563,-4.2787185,3.5982943,0.33899802,0.95672923,-6.4576855,5.7948484,6.921726,1
1,0.4218738,0.101192646,0.008784147735240002,-454.1105,149.46022,6.877837,38.30742,-19.994371,24.747862,4.710405,9.357005,-23.39405,-8.536147,-23.31936,-29.460476,-5.8536205,1.9436836,7.564909,-21.729715,16.471718,-0.9355948,-6.9020824,4.0978503,1
2,0.41353336,0.07055603,-0.004402476912533847,-485.32712,145.47266,14.633224,55.30147,-31.686434,21.56246,5.1532125,8.702589,-19.55567,-2.4424024,-17.595715,-30.539894,-12.879341,3.900767,9.427397,-23.092175,23.687714,-6.431528,-12.445423,3.7880075,1
3,0.47469926,0.042020988,0.004413081416796363,-501.12228,105.34584,-46.276722,19.559835,-2.1079342,32.521305,-7.9437027,20.54203,-10.451283,-4.99138,0.4668951,-10.242606,-1.1090735,-5.4972205,14.259314,-10.86044,4.12094,0.31995878,1.4258581,4.653658,1
4,0.4133566,0.07055562,-0.004399786942789604,-485.31018,145.42955,14.673417,55.330605,-31.734566,21.591702,5.148387,8.737531,-19.541386,-2.4807396,-17.589806,-30.530893,-12.884091,3.8775725,9.424172,-23.052525,23.683088,-6.439367,-12.393048,3.797995,1
5,0.40172383,0.08636925,-0.027166941162719345,-468.47656,154.91661,3.4908855,52.735764,-24.156443,15.974339,0.21396005,-3.6372743,-23.250748,-10.44828,-21.456171,-26.967733,2.7374153,0.6630293,-0.23360793,-6.5282826,17.959532,-13.4372,-2.1636884,3.8580005,1
6,0.4133151,0.075288154,-0.0039567016923349775,-482.60376,154.77576,17.621212,55.24753,-33.8551,16.1632,11.802947,1.8455999,-23.30183,-4.9680514,-18.574686,-27.655155,-14.332383,0.57171965,7.4343247,-22.599417,22.151558,-2.4374523,-9.22508,5.3246965,1
7,0.40955606,0.05111458,-0.0018664976830697745,-512.57806,136.94661,15.001303,55.67783,-27.58883,29.472433,14.950492,6.5842495,-27.225994,-15.320365,-29.202122,-21.618511,10.727097,-2.1000853,0.6836642,-16.888763,12.765832,-12.659877,0.40467826,7.2687273,1
8,0.41328368,0.07528844,-0.003955300457737035,-482.5978,154.77031,17.641647,55.208168,-33.899986,16.243847,11.841524,1.803865,-23.333475,-4.9608192,-18.546186,-27.648046,-14.379186,0.53565335,7.4336524,-22.61367,22.180973,-2.3894324,-9.244043,5.3197727,1
9,0.4332652,0.0770965,-0.0079088868409986,-478.7152,155.25133,8.545365,48.085785,-22.448565,26.162683,7.1959486,4.2063303,-26.188335,-9.34315,-24.54617,-26.974823,-7.6984024,-0.17987078,10.563326,-18.269514,21.653597,-5.5018253,-11.652658,3.9524982,1
10,0.44478202,0.08720056,-0.0033098321612030617,-452.5489,144.40082,-2.787,52.59736,-16.052416,18.870039,-10.4729595,6.064431,-22.636238,-9.477752,-19.698574,-28.031998,1.836527,-4.650206,4.8739824,-10.248686,16.809574,-11.439135,-10.816532,7.0716815,1
11,0.42194834,0.04686012,-0.0021708376410920992,-507.01526,103.4119,-35.613827,22.065191,-11.294261,29.95735,-7.925574,15.575151,-14.583537,-12.91558,1.0328932,-11.295362,5.910562,-1.3516445,6.5185075,-5.8615236,6.0299215,0.6623074,-2.734735,1.3985898,1
12,0.4449953,0.08720079,-0.0033079711049125277,-452.59402,144.41927,-2.7754292,52.589878,-16.021553,18.864637,-10.468736,6.084194,-22.633053,-9.504031,-19.691658,-28.038181,1.8306249,-4.6082163,4.8797264,-10.257842,16.79537,-11.455193,-10.813785,7.0717316,1
13,0.48034504,0.05864587,-0.016249926490399205,-529.11694,99.66649,-4.1432986,27.765123,-6.6612644,15.361609,0.44106197,8.093681,-11.212718,-4.82397,-9.604433,-12.090573,5.6297417,-4.270414,3.5754695,0.32361796,0.96040356,-6.465285,5.8250403,6.9053135,1
14,0.4465463,0.062177673,-0.001997488469588197,-535.27313,111.517296,-9.503812,29.653168,-5.087307,21.808977,-1.550235,13.084038,-10.482212,-5.7037725,-6.3360753,-13.743887,3.3662596,2.5577574,6.221399,-5.7734423,9.750012,-5.174331,1.4200692,11.0408535,1
15,0.47505438,0.04202078,0.0050975240744173,-501.08746,105.36333,-46.25855,19.566513,-2.1401372,32.543438,-7.92201,20.496016,-10.469757,-4.975328,0.45761922,-10.231514,-1.1054685,-5.5121713,14.282082,-10.860508,4.1184397,0.3249386,1.4263965,4.65198,1
16,0.44616064,0.062177744,-0.0020022145651373852,-535.2313,111.50426,-9.52859,29.613571,-5.1150317,21.84754,-1.5371327,13.094511,-10.503158,-5.69589,-6.3037796,-13.714905,3.3809268,2.5258913,6.1983647,-5.807883,9.762474,-5.129582,1.3976299,11.024881,1
17,0.41047388,0.051702023,-0.0007895382698655026,-487.12918,120.2041,-27.953053,32.271072,-13.401669,32.700237,3.5291529,14.217204,-16.997557,-12.532569,-13.228262,-20.946712,6.219757,2.8624215,8.785401,-5.6951294,5.2842264,-8.650351,6.3912077,4.404121,1
18,0.43482167,0.11787962,-0.01619259706966637,-460.07275,137.85858,20.505148,41.715027,-16.066315,27.708725,-0.0646173,13.459854,-17.191118,-6.585703,-32.5086,-33.985603,13.44312,-9.771233,5.0633216,-5.693559,-1.754858,-10.302504,2.4313333,4.992899,1
19,0.4302258,0.06802019,-0.010789749345543628,-497.62534,144.26941,22.526833,47.824333,-15.981653,27.123861,19.28644,4.375259,-23.282112,-14.951284,-38.07781,-25.74415,7.9118323,-7.012524,1.7417258,-5.3450136,4.0164075,-11.105377,10.046379,0.03230755,1
20,0.43296635,0.07709811,-0.006640023706275621,-478.66882,155.2636,8.560867,48.067062,-22.457561,26.215206,7.169101,4.237241,-26.164188,-9.366264,-24.542282,-27.011164,-7.6741266,-0.1598035,10.540559,-18.258024,21.665007,-5.5072007,-11.676009,3.9560127,1
21,0.43024072,0.06801975,-0.0006384381744000172,-497.58478,144.26671,22.510769,47.802563,-15.993803,27.164555,19.32492,4.3600564,-23.321308,-14.922453,-38.052185,-25.767216,7.8342934,-7.010477,1.7907351,-5.33511,4.0447235,-11.1142435,10.072437,0.024791008,1
22,0.4218934,0.04685987,0.0023669751060739724,-507.0186,103.385086,-35.600315,22.088575,-11.32612,29.951965,-7.905534,15.601769,-14.551988,-12.895138,1.0396153,-11.288422,5.9200273,-1.3421358,6.5110574,-5.8444486,6.063981,0.6449297,-2.7603087,1.397829,1
23,0.40947887,0.09991599,-0.0005424884817896877,-460.3489,152.08638,6.082205,45.585434,-17.701729,18.424438,4.535492,12.110644,-16.885141,-12.380866,-37.287403,-25.784023,14.382278,-11.889226,0.1253071,-8.51376,-4.3303413,-14.645237,5.598599,14.425374,1
24,0.40949622,0.099915795,-0.0005408165626962747,-460.3957,152.08339,6.1065273,45.61594,-17.674353,18.413141,4.5332346,12.129838,-16.880554,-12.375876,-37.25205,-25.795809,14.350257,-11.904442,0.1438225,-8.495337,-4.3441997,-14.656428,5.580732,14.439629,1
