,chroma_stft_mean,mel,tone,mfcc1_mean,mfcc2_mean,mfcc3_mean,mfcc4_mean,mfcc5_mean,mfcc6_mean,mfcc7_mean,mfcc8_mean,mfcc9_mean,mfcc10_mean,mfcc11_mean,mfcc12_mean,mfcc13_mean,mfcc14_mean,mfcc15_mean,mfcc16_mean,mfcc17_mean,mfcc18_mean,mfcc19_mean,mfcc20_mean,result
0,0.48415482,0.33008072,-0.005047689025271844,-434.76535,181.46558,30.74033,29.617897,-2.2933955,-1.6403989,18.05952,-1.5830148,-12.480942,-3.255651,-14.922827,-0.61599463,-6.14399,-8.197098,5.469339,-4.1836066,-3.88224,6.5323853,-4.833175,-1.8750633,1
1,0.48882073,0.067060284,-0.00889285737283536,-554.89056,121.09445,35.783733,24.187899,15.1193,-0.1558027,-1.2548412,3.5292277,-13.482399,-5.3178844,-3.772568,0.7017714,2.92383,-0.23427089,2.647286,3.9308927,-6.24022,2.5764701,-4.4407387,-1.0842657,1
2,0.4436683,0.21686593,-0.011975807881265373,-441.5532,166.18318,40.047104,24.484482,10.567182,-14.486568,-1.75116,8.115006,-22.484045,-12.547869,-8.288876,-2.5030448,-4.4235783,-4.800902,-4.104846,18.363012,-7.7822533,-0.061984494,-1.1892529,2.9419837,1
3,0.37249017,0.09918257,-0.00926362011240846,-477.76074,158.52446,24.1594,34.35511,13.239359,-12.166164,7.4862075,3.6331758,-35.025215,-11.1471615,-8.040302,-8.190839,0.31209728,1.1502032,-3.8038533,8.505361,-5.514116,0.30248436,-0.05344808,1.4628173,1
4,0.38157037,0.36466095,-0.014286782567505525,-440.65967,142.32181,45.88675,31.613424,5.6120462,-0.41863203,13.416864,-0.16374922,-23.41583,-5.8016043,-6.657281,-10.903971,-5.295511,0.51240236,1.9037756,7.901982,2.056827,1.7193891,3.5946116,1.3404708,1
5,0.4318667,0.07406495,-0.0002213584884042069,-479.7496,152.04836,21.822495,23.805431,8.332044,4.666417,0.07121254,-4.909187,-20.652359,-13.448962,-9.703208,-2.7276385,-0.4861765,-0.19108135,-1.8703293,11.894461,-12.206669,1.9865566,3.0931988,-0.32233977,1
6,0.3637068,0.065232664,0.0038420861693342604,-502.7555,147.06494,32.64348,36.461666,16.915913,-4.5162697,3.9014454,3.4349716,-27.915825,-13.476446,-8.529932,-3.4724956,3.3574393,-2.4309945,-5.894584,15.228828,-5.6977515,-0.027349703,0.70054966,-0.09249686,1
7,0.3844526,0.09153991,-0.0071052250985438395,-454.37186,142.46988,20.059334,24.78807,17.614473,6.179785,5.8985515,7.5330663,-31.242579,-12.547091,-6.142414,-14.7959585,4.091312,9.99342,-2.854714,5.3985276,-6.549668,5.434582,5.8351545,2.9835231,1
8,0.39721373,0.09030169,0.0011567734833539689,-458.58704,140.65492,14.076209,32.140984,19.489914,-1.446974,3.8697228,-0.1787833,-31.797443,-7.7706,-5.294753,-6.625061,-1.823759,2.5780115,-8.146086,9.15321,-5.461387,1.3960044,7.2851076,2.656079,1
9,0.36196336,0.04190074,-0.02029139140446982,-524.1535,153.4992,30.376905,25.18908,9.051834,0.04985301,3.5698173,2.169781,-27.85571,-10.563319,-7.5055923,-10.612408,-1.2224394,-0.8063438,-0.23403051,12.918011,-2.1742752,1.7775822,0.5895454,-2.3673477,1
